instance_id,image_name
Avaiga__taipy-1042@a76a34b,ghcr.io/c-crab-benchmark/avaiga__taipy-1042
Lightning-AI__pytorch-lightning-4654@89b962d,ghcr.io/c-crab-benchmark/lightning-ai__pytorch-lightning-4654
PrefectHQ__prefect-14313@d428713,ghcr.io/c-crab-benchmark/prefecthq__prefect-14313
PrefectHQ__prefect-18444@1ffae47,ghcr.io/c-crab-benchmark/prefecthq__prefect-18444
ansible__ansible-20646@f695114,ghcr.io/c-crab-benchmark/ansible__ansible-20646
ansible__ansible-27435@da1a331,ghcr.io/c-crab-benchmark/ansible__ansible-27435
ansible__ansible-33909@d516d5b,ghcr.io/c-crab-benchmark/ansible__ansible-33909
ansible__ansible-36996@4b45ffc,ghcr.io/c-crab-benchmark/ansible__ansible-36996
ansible__ansible-44951@91cfd5c,ghcr.io/c-crab-benchmark/ansible__ansible-44951
ansible__ansible-51415@fb988f5,ghcr.io/c-crab-benchmark/ansible__ansible-51415
ansible__ansible-54268@403b068,ghcr.io/c-crab-benchmark/ansible__ansible-54268
ansible__ansible-55379@060b0e9,ghcr.io/c-crab-benchmark/ansible__ansible-55379
ansible__ansible-56679@5e79e31,ghcr.io/c-crab-benchmark/ansible__ansible-56679
ansible__ansible-58383@531e457,ghcr.io/c-crab-benchmark/ansible__ansible-58383
ansible__ansible-59946@fbe8544,ghcr.io/c-crab-benchmark/ansible__ansible-59946
ansible__ansible-60622@19d2ad7,ghcr.io/c-crab-benchmark/ansible__ansible-60622
ansible__ansible-62373@30950ec,ghcr.io/c-crab-benchmark/ansible__ansible-62373
ansible__ansible-71136@621cec5,ghcr.io/c-crab-benchmark/ansible__ansible-71136
apache__airflow-16732@8ec4f26,ghcr.io/c-crab-benchmark/apache__airflow-16732
apache__airflow-26766@cf0c9a6,ghcr.io/c-crab-benchmark/apache__airflow-26766
apache__airflow-8749@161c96c,ghcr.io/c-crab-benchmark/apache__airflow-8749
certbot__certbot-7270@65f464e,ghcr.io/c-crab-benchmark/certbot__certbot-7270
certbot__certbot-9076@01f570d,ghcr.io/c-crab-benchmark/certbot__certbot-9076
conan-io__conan-16942@e62c6eb,ghcr.io/c-crab-benchmark/conan-io__conan-16942
cvat-ai__cvat-4062@ff04d8f,ghcr.io/c-crab-benchmark/cvat-ai__cvat-4062
dask__dask-7974@88a13f7,ghcr.io/c-crab-benchmark/dask__dask-7974
deepset-ai__haystack-1413@fc3b61a,ghcr.io/c-crab-benchmark/deepset-ai__haystack-1413
deepset-ai__haystack-1604@78e9795,ghcr.io/c-crab-benchmark/deepset-ai__haystack-1604
deepset-ai__haystack-3488@e07a8b3,ghcr.io/c-crab-benchmark/deepset-ai__haystack-3488
deepset-ai__haystack-3546@a260299,ghcr.io/c-crab-benchmark/deepset-ai__haystack-3546
deepset-ai__haystack-5284@60a39ef,ghcr.io/c-crab-benchmark/deepset-ai__haystack-5284
deepset-ai__haystack-8457@2dd3777,ghcr.io/c-crab-benchmark/deepset-ai__haystack-8457
deepset-ai__haystack-92@accd8b1,ghcr.io/c-crab-benchmark/deepset-ai__haystack-92
frappe__frappe-13065@dfc23eb,ghcr.io/c-crab-benchmark/frappe__frappe-13065
getmoto__moto-7406@26efd90,ghcr.io/c-crab-benchmark/getmoto__moto-7406
getsentry__sentry-71711@d1652c4,ghcr.io/c-crab-benchmark/getsentry__sentry-71711
getsentry__sentry-71942@a4f03f3,ghcr.io/c-crab-benchmark/getsentry__sentry-71942
gradio-app__gradio-3275@067f582,ghcr.io/c-crab-benchmark/gradio-app__gradio-3275
home-assistant__core-110255@a9d173a,ghcr.io/c-crab-benchmark/home-assistant__core-110255
hpcaitech__ColossalAI-4080@dc82ade,ghcr.io/c-crab-benchmark/hpcaitech__colossalai-4080
hpcaitech__ColossalAI-6059@802df11,ghcr.io/c-crab-benchmark/hpcaitech__colossalai-6059
huggingface__accelerate-255@12e4b18,ghcr.io/c-crab-benchmark/huggingface__accelerate-255
huggingface__datasets-586@034c1c0,ghcr.io/c-crab-benchmark/huggingface__datasets-586
huggingface__diffusers-4015@c63a53a,ghcr.io/c-crab-benchmark/huggingface__diffusers-4015
huggingface__diffusers-792@90385bb,ghcr.io/c-crab-benchmark/huggingface__diffusers-792
iterative__dvc-2596@37847e7,ghcr.io/c-crab-benchmark/iterative__dvc-2596
jina-ai__serve-1256@2f495e3,ghcr.io/c-crab-benchmark/jina-ai__serve-1256
keephq__keep-100@6a8be21,ghcr.io/c-crab-benchmark/keephq__keep-100
keephq__keep-1984@e524fe8,ghcr.io/c-crab-benchmark/keephq__keep-1984
keephq__keep-3054@2d23bf3,ghcr.io/c-crab-benchmark/keephq__keep-3054
keephq__keep-4568@aaa03de,ghcr.io/c-crab-benchmark/keephq__keep-4568
marimo-team__marimo-4080@8a73f89,ghcr.io/c-crab-benchmark/marimo-team__marimo-4080
matplotlib__matplotlib-17892@cb25841,ghcr.io/c-crab-benchmark/matplotlib__matplotlib-17892
matplotlib__matplotlib-30199@b5dfb32,ghcr.io/c-crab-benchmark/matplotlib__matplotlib-30199
microsoft__autogen-2225@9cf65ed,ghcr.io/c-crab-benchmark/microsoft__autogen-2225
microsoft__autogen-4044@e5bddfc,ghcr.io/c-crab-benchmark/microsoft__autogen-4044
microsoft__autogen-5843@e07fb7a,ghcr.io/c-crab-benchmark/microsoft__autogen-5843
mlflow__mlflow-1658@3f53b0b,ghcr.io/c-crab-benchmark/mlflow__mlflow-1658
modin-project__modin-4215@69f9652,ghcr.io/c-crab-benchmark/modin-project__modin-4215
netbox-community__netbox-10171@249b8b0,ghcr.io/c-crab-benchmark/netbox-community__netbox-10171
netbox-community__netbox-7662@7c147db,ghcr.io/c-crab-benchmark/netbox-community__netbox-7662
networkx__networkx-4134@3b27fe2,ghcr.io/c-crab-benchmark/networkx__networkx-4134
networkx__networkx-4602@b2da108,ghcr.io/c-crab-benchmark/networkx__networkx-4602
networkx__networkx-5305@072b960,ghcr.io/c-crab-benchmark/networkx__networkx-5305
networkx__networkx-7159@7e65b7d,ghcr.io/c-crab-benchmark/networkx__networkx-7159
numba__numba-4282@a062e23,ghcr.io/c-crab-benchmark/numba__numba-4282
numpy__numpy-12123@1c2abd3,ghcr.io/c-crab-benchmark/numpy__numpy-12123
numpy__numpy-14924@6a7e3f1,ghcr.io/c-crab-benchmark/numpy__numpy-14924
numpy__numpy-15425@e603b5f,ghcr.io/c-crab-benchmark/numpy__numpy-15425
numpy__numpy-22997@8c57716,ghcr.io/c-crab-benchmark/numpy__numpy-22997
optuna__optuna-1087@4177569,ghcr.io/c-crab-benchmark/optuna__optuna-1087
optuna__optuna-972@1f4813a,ghcr.io/c-crab-benchmark/optuna__optuna-972
pandas-dev__pandas-42186@62d46c4,ghcr.io/c-crab-benchmark/pandas-dev__pandas-42186
pandas-dev__pandas-42635@59d4145,ghcr.io/c-crab-benchmark/pandas-dev__pandas-42635
pandas-dev__pandas-43930@fef88a7,ghcr.io/c-crab-benchmark/pandas-dev__pandas-43930
pandas-dev__pandas-50366@1e7613f,ghcr.io/c-crab-benchmark/pandas-dev__pandas-50366
pandas-dev__pandas-55938@b36d8d1,ghcr.io/c-crab-benchmark/pandas-dev__pandas-55938
pydantic__pydantic-11468@92c01bd,ghcr.io/c-crab-benchmark/pydantic__pydantic-11468
pyg-team__pytorch_geometric-4635@498dbbf,ghcr.io/c-crab-benchmark/pyg-team__pytorch_geometric-4635
python-poetry__poetry-4985@b350568,ghcr.io/c-crab-benchmark/python-poetry__poetry-4985
python-telegram-bot__python-telegram-bot-3514@d5c0a5c,ghcr.io/c-crab-benchmark/python-telegram-bot__python-telegram-bot-3514
python-telegram-bot__python-telegram-bot-4168@96ca73d,ghcr.io/c-crab-benchmark/python-telegram-bot__python-telegram-bot-4168
python__cpython-104029@f78e70e,ghcr.io/c-crab-benchmark/python__cpython-104029
python__mypy-14517@78b0f55,ghcr.io/c-crab-benchmark/python__mypy-14517
python__mypy-15353@65efb01,ghcr.io/c-crab-benchmark/python__mypy-15353
python__mypy-6781@3a824fb,ghcr.io/c-crab-benchmark/python__mypy-6781
python__mypy-6803@8e6a9b8,ghcr.io/c-crab-benchmark/python__mypy-6803
python__mypy-9629@13dc4d2,ghcr.io/c-crab-benchmark/python__mypy-9629
pytorch__vision-8316@92ec2fb,ghcr.io/c-crab-benchmark/pytorch__vision-8316
qutebrowser__qutebrowser-3590@872cff2,ghcr.io/c-crab-benchmark/qutebrowser__qutebrowser-3590
qutebrowser__qutebrowser-7003@3656345,ghcr.io/c-crab-benchmark/qutebrowser__qutebrowser-7003
ray-project__ray-49918@04cf1ee,ghcr.io/c-crab-benchmark/ray-project__ray-49918
run-llama__llama_index-13413@63620ed,ghcr.io/c-crab-benchmark/run-llama__llama_index-13413
scikit-learn__scikit-learn-29401@819e167,ghcr.io/c-crab-benchmark/scikit-learn__scikit-learn-29401
scikit-learn__scikit-learn-29442@3a19575,ghcr.io/c-crab-benchmark/scikit-learn__scikit-learn-29442
scipy__scipy-20393@c92a476,ghcr.io/c-crab-benchmark/scipy__scipy-20393
scrapy__scrapy-2456@c7bb2fa,ghcr.io/c-crab-benchmark/scrapy__scrapy-2456
skypilot-org__skypilot-1144@36893af,ghcr.io/c-crab-benchmark/skypilot-org__skypilot-1144
skypilot-org__skypilot-1427@b01cb79,ghcr.io/c-crab-benchmark/skypilot-org__skypilot-1427
skypilot-org__skypilot-4067@ff528a5,ghcr.io/c-crab-benchmark/skypilot-org__skypilot-4067
skypilot-org__skypilot-5435@50d9632,ghcr.io/c-crab-benchmark/skypilot-org__skypilot-5435
skypilot-org__skypilot-569@1c4deb7,ghcr.io/c-crab-benchmark/skypilot-org__skypilot-569
skypilot-org__skypilot-614@ac824f0,ghcr.io/c-crab-benchmark/skypilot-org__skypilot-614
skypilot-org__skypilot-727@4fca3da,ghcr.io/c-crab-benchmark/skypilot-org__skypilot-727
sqlfluff__sqlfluff-2121@d0d52a4,ghcr.io/c-crab-benchmark/sqlfluff__sqlfluff-2121
sqlfluff__sqlfluff-494@554c74a,ghcr.io/c-crab-benchmark/sqlfluff__sqlfluff-494
sqlfluff__sqlfluff-541@c5a16c3,ghcr.io/c-crab-benchmark/sqlfluff__sqlfluff-541
sqlfluff__sqlfluff-865@9e69af8,ghcr.io/c-crab-benchmark/sqlfluff__sqlfluff-865
sympy__sympy-11818@ab1bcd5,ghcr.io/c-crab-benchmark/sympy__sympy-11818
sympy__sympy-15346@99fe375,ghcr.io/c-crab-benchmark/sympy__sympy-15346
sympy__sympy-18605@a356458,ghcr.io/c-crab-benchmark/sympy__sympy-18605
sympy__sympy-18630@9ca7e3a,ghcr.io/c-crab-benchmark/sympy__sympy-18630
sympy__sympy-19254@8adfdbe,ghcr.io/c-crab-benchmark/sympy__sympy-19254
sympy__sympy-19913@d466e06,ghcr.io/c-crab-benchmark/sympy__sympy-19913
sympy__sympy-22369@6eb7e6a,ghcr.io/c-crab-benchmark/sympy__sympy-22369
sympy__sympy-22426@05cec82,ghcr.io/c-crab-benchmark/sympy__sympy-22426
sympy__sympy-24666@7d194c7,ghcr.io/c-crab-benchmark/sympy__sympy-24666
sympy__sympy-26515@2c01ca9,ghcr.io/c-crab-benchmark/sympy__sympy-26515
sympy__sympy-27352@b3187d6,ghcr.io/c-crab-benchmark/sympy__sympy-27352
tobymao__sqlglot-2096@1794bf3,ghcr.io/c-crab-benchmark/tobymao__sqlglot-2096
tobymao__sqlglot-5284@3f57fcd,ghcr.io/c-crab-benchmark/tobymao__sqlglot-5284
voxel51__fiftyone-4236@2af48de,ghcr.io/c-crab-benchmark/voxel51__fiftyone-4236
xorbitsai__inference-1168@f3ada96,ghcr.io/c-crab-benchmark/xorbitsai__inference-1168
xorbitsai__inference-2079@5ae18b2,ghcr.io/c-crab-benchmark/xorbitsai__inference-2079
PostHog__posthog-4868@1372f68,ghcr.io/c-crab-benchmark/posthog__posthog-4868
saleor__saleor-5085@f8ed729,ghcr.io/c-crab-benchmark/saleor__saleor-5085
zulip__zulip-22583@37ae377,ghcr.io/c-crab-benchmark/zulip__zulip-22583
PostHog__posthog-10293@7041fd3,ghcr.io/c-crab-benchmark/posthog__posthog-10293
ManimCommunity__manim-509@1cbc24f,ghcr.io/c-crab-benchmark/manimcommunity__manim-509
OpenMined__PySyft-4522@776c2e8,ghcr.io/c-crab-benchmark/openmined__pysyft-4522
ManimCommunity__manim-1140@ed7dc3d,ghcr.io/c-crab-benchmark/manimcommunity__manim-1140
home-assistant__core-142977@fa60db7,ghcr.io/c-crab-benchmark/home-assistant__core-142977
dbt-labs__dbt-core-7276@acfae95,ghcr.io/c-crab-benchmark/dbt-labs__dbt-core-7276
saleor__saleor-5611@a2d5871,ghcr.io/c-crab-benchmark/saleor__saleor-5611
dbt-labs__dbt-core-8743@fb6f32f,ghcr.io/c-crab-benchmark/dbt-labs__dbt-core-8743
pwndbg__pwndbg-2075@3d3a319,ghcr.io/c-crab-benchmark/pwndbg__pwndbg-2075
geldata__gel-6352@24b4f19,ghcr.io/c-crab-benchmark/geldata__gel-6352
PostHog__posthog-8874@960dad4,ghcr.io/c-crab-benchmark/posthog__posthog-8874
geldata__gel-5130@2e5341f,ghcr.io/c-crab-benchmark/geldata__gel-5130
RasaHQ__rasa-5341@d8b1c24,ghcr.io/c-crab-benchmark/rasahq__rasa-5341
dbt-labs__dbt-core-7186@c6b5b12,ghcr.io/c-crab-benchmark/dbt-labs__dbt-core-7186
All-Hands-AI__OpenHands-8343@9d4e2af,ghcr.io/c-crab-benchmark/all-hands-ai__openhands-8343
skypilot-org__skypilot-1489@1430d74,ghcr.io/c-crab-benchmark/skypilot-org__skypilot-1489
saleor__saleor-4617@9c2907b,ghcr.io/c-crab-benchmark/saleor__saleor-4617
ansible__ansible-65021@f63c26e,ghcr.io/c-crab-benchmark/ansible__ansible-65021
netbox-community__netbox-13373@1d02196,ghcr.io/c-crab-benchmark/netbox-community__netbox-13373
ManimCommunity__manim-482@f2fd3e3,ghcr.io/c-crab-benchmark/manimcommunity__manim-482
home-assistant__core-146453@71eab0c,ghcr.io/c-crab-benchmark/home-assistant__core-146453
netbox-community__netbox-17674@1507840,ghcr.io/c-crab-benchmark/netbox-community__netbox-17674
netbox-community__netbox-14047@0ec158d,ghcr.io/c-crab-benchmark/netbox-community__netbox-14047
langflow-ai__langflow-918@c710c1c,ghcr.io/c-crab-benchmark/langflow-ai__langflow-918
pandas-dev__pandas-23866@45e5f06,ghcr.io/c-crab-benchmark/pandas-dev__pandas-23866
RasaHQ__rasa-7797@3d69847,ghcr.io/c-crab-benchmark/rasahq__rasa-7797
scikit-learn__scikit-learn-23548@cc5e175,ghcr.io/c-crab-benchmark/scikit-learn__scikit-learn-23548
pytorch__vision-2988@7ea166d,ghcr.io/c-crab-benchmark/pytorch__vision-2988
pandas-dev__pandas-35974@d0a8a68,ghcr.io/c-crab-benchmark/pandas-dev__pandas-35974
pandas-dev__pandas-28802@33c889c,ghcr.io/c-crab-benchmark/pandas-dev__pandas-28802
pandas-dev__pandas-23480@ab05b87,ghcr.io/c-crab-benchmark/pandas-dev__pandas-23480
pytorch__vision-4457@231054c,ghcr.io/c-crab-benchmark/pytorch__vision-4457
scikit-learn__scikit-learn-9802@5c7da54,ghcr.io/c-crab-benchmark/scikit-learn__scikit-learn-9802
apache__airflow-32366@52228da,ghcr.io/c-crab-benchmark/apache__airflow-32366
scipy__scipy-13893@4fcbd8b,ghcr.io/c-crab-benchmark/scipy__scipy-13893
hummingbot__hummingbot-4889@d8a242a,ghcr.io/c-crab-benchmark/hummingbot__hummingbot-4889
matplotlib__matplotlib-26151@c6a1bf5,ghcr.io/c-crab-benchmark/matplotlib__matplotlib-26151
goauthentik__authentik-13602@50ea3f3,ghcr.io/c-crab-benchmark/goauthentik__authentik-13602
scikit-learn__scikit-learn-15277@594e3a6,ghcr.io/c-crab-benchmark/scikit-learn__scikit-learn-15277
pandas-dev__pandas-35284@644bdf7,ghcr.io/c-crab-benchmark/pandas-dev__pandas-35284
pandas-dev__pandas-16744@b8a6007,ghcr.io/c-crab-benchmark/pandas-dev__pandas-16744
pandas-dev__pandas-23886@d6a2d5b,ghcr.io/c-crab-benchmark/pandas-dev__pandas-23886
freqtrade__freqtrade-5846@da4344d,ghcr.io/c-crab-benchmark/freqtrade__freqtrade-5846
frappe__frappe-16877@e78a251,ghcr.io/c-crab-benchmark/frappe__frappe-16877
matplotlib__matplotlib-27172@9f80d55,ghcr.io/c-crab-benchmark/matplotlib__matplotlib-27172
goauthentik__authentik-12630@7fed46f,ghcr.io/c-crab-benchmark/goauthentik__authentik-12630
scikit-learn__scikit-learn-12822@c451532,ghcr.io/c-crab-benchmark/scikit-learn__scikit-learn-12822
pandas-dev__pandas-34933@de64663,ghcr.io/c-crab-benchmark/pandas-dev__pandas-34933
pandas-dev__pandas-14737@8e4adbb,ghcr.io/c-crab-benchmark/pandas-dev__pandas-14737
pytorch__vision-2596@8859151,ghcr.io/c-crab-benchmark/pytorch__vision-2596
pandas-dev__pandas-23141@1c22791,ghcr.io/c-crab-benchmark/pandas-dev__pandas-23141
ccxt__ccxt-14582@83f50a7,ghcr.io/c-crab-benchmark/ccxt__ccxt-14582
ccxt__ccxt-14830@1d1701f,ghcr.io/c-crab-benchmark/ccxt__ccxt-14830
ccxt__ccxt-16729@284cdce,ghcr.io/c-crab-benchmark/ccxt__ccxt-16729
zulip__zulip-25349@67de2a4,ghcr.io/c-crab-benchmark/zulip__zulip-25349
ansible__ansible-36494@c514aeb,
ansible__ansible-39963@85a7d65,
ansible__ansible-41849@08ea4e9,
ansible__ansible-42145@12c0d66,
ansible__ansible-42456@b29e00e,
ansible__ansible-49873@10ef1a3,
ansible__ansible-56567@ce2e515,
ansible__ansible-61603@5bf662a,
ansible__ansible-77944@0f6d2a8,
apache__airflow-14836@e9f6cb4,
apache__airflow-51237@6dd1634,
Avaiga__taipy-833@24559da,
bridgecrewio__checkov-4155@48ecaf7,
ccxt__ccxt-21513@c661f32,
certbot__certbot-9208@2584184,
conan-io__conan-15153@ac4642f,
conan-io__conan-16883@09d3616,
conan-io__conan-6052@ca23055,
cupy__cupy-2872@158ac6a,
cvat-ai__cvat-1396@bd228e1,
dask__dask-6143@3c16a2e,
dask__dask-8869@24f8120,
dbt-labs__dbt-core-10664@4a736f4,
dbt-labs__dbt-core-1453@70206b1,
dbt-labs__dbt-core-5027@8dcfeb1,
deepset-ai__haystack-1861@36fe91e,
deepset-ai__haystack-1976@8f7a848,
deepset-ai__haystack-3837@e0d9ac8,
deepset-ai__haystack-5205@b596443,
deepset-ai__haystack-5467@cc8b6d5,
deepset-ai__haystack-9290@3f511f6,
dmlc__dgl-3892@98afbd1,
dmlc__dgl-4620@5297d27,
dmlc__dgl-4623@edc9361,
frappe__frappe-15891@ec9ae72,
freqtrade__freqtrade-8083@592eebe,
geldata__gel-4469@95cccee,
getsentry__sentry-78778@17b738e,
gradio-app__gradio-10032@5f0c7d8,
gradio-app__gradio-4608@6dc45de,
gradio-app__gradio-4933@8ceb23c,
gradio-app__gradio-5232@5b83994,
home-assistant__core-121178@b09b3b5,
hpcaitech__ColossalAI-2374@05119a8,
huggingface__datasets-2182@748e2e9,
huggingface__datasets-2986@87e2ab7,
huggingface__datasets-3129@3d35ada,
huggingface__datasets-4433@43a3326,
hummingbot__hummingbot-2133@591c904,
intel__ipex-llm-5097@9525134,
jina-ai__serve-2037@792b165,
jina-ai__serve-2297@e1aea7f,
jina-ai__serve-4883@ca87c3e,
jina-ai__serve-5607@900d9e3,
keephq__keep-625@767a6e3,
keephq__keep-904@9597dfd,
letta-ai__letta-58@d3a3a21,
Lightning-AI__pytorch-lightning-7351@7b3f48d,
Lightning-AI__pytorch-lightning-866@5a0ccf4,
localstack__localstack-10041@68f3277,
localstack__localstack-12496@22b4c31,
marimo-team__marimo-3122@5536640,
matplotlib__matplotlib-24111@3f99c20,
matplotlib__matplotlib-8938@d670a4f,
microsoft__autogen-1616@7f23912,
microsoft__autogen-6529@23be68e,
modin-project__modin-2801@64caea0,
modin-project__modin-3765@d2d8bd2,
netbox-community__netbox-13563@4da93f4,
netbox-community__netbox-14754@44cf93a,
netbox-community__netbox-16426@759cbc3,
netbox-community__netbox-17716@8a8c328,
netbox-community__netbox-8907@055c67f,
networkx__networkx-5371@b446ef1,
numba__numba-9144@74a4cd4,
numpy__numpy-17443@2ebb453,
numpy__numpy-20310@a4daaf5,
numpy__numpy-8423@0ec089a,
OpenMined__PySyft-5385@0af54a4,
OpenMined__PySyft-5452@2b1416a,
optuna__optuna-3629@f4f6b5f,
pandas-dev__pandas-16247@fa4e036,
pandas-dev__pandas-16428@0bdc8ed,
pandas-dev__pandas-18440@65fbc91,
pandas-dev__pandas-18604@8c9061b,
pandas-dev__pandas-18831@4821f05,
pandas-dev__pandas-19021@fd1e7a5,
pandas-dev__pandas-20550@c1dfe56,
pandas-dev__pandas-24186@504de70,
pandas-dev__pandas-24968@0ea6653,
pandas-dev__pandas-25008@2cdd367,
pandas-dev__pandas-25914@87c183e,
pandas-dev__pandas-29356@cadbdc3,
pandas-dev__pandas-31538@33e24a3,
pandas-dev__pandas-33962@fc4993f,
pandas-dev__pandas-34056@d001e97,
pandas-dev__pandas-34363@f3c7e18,
pandas-dev__pandas-35231@2f4902c,
pandas-dev__pandas-37676@22a6bff,
pandas-dev__pandas-40372@51fe758,
PostHog__posthog-7569@db32271,
PrefectHQ__prefect-14392@aac04aa,
psf__black-1940@55a46b8,
psf__black-2919@22a0d08,
psf__black-3035@549a094,
pydantic__pydantic-5009@5bd2abd,
pydantic__pydantic-7677@b6bbdcc,
pyg-team__pytorch_geometric-5422@20ad5b8,
python__cpython-30745@6ab18ef,
python__mypy-11143@23a0e4b,
python__mypy-11244@3237b02,
python__mypy-17309@b3c328e,
python__mypy-4000@358ca96,
python__mypy-4341@2456414,
python__mypy-7079@009f478,
python-telegram-bot__python-telegram-bot-2335@e64ddb0,
python-telegram-bot__python-telegram-bot-3426@857949a,
qutebrowser__qutebrowser-5981@7f4897f,
RasaHQ__rasa-5818@693ab41,
ray-project__ray-50590@3dad0b2,
reflex-dev__reflex-4406@5ec2c11,
run-llama__llama_index-19234@e7810e8,
saleor__saleor-4508@69bc9d9,
saleor__saleor-5254@efbebcc,
scikit-learn__scikit-learn-12486@15a4397,
scikit-learn__scikit-learn-14427@0f2047d,
scikit-learn__scikit-learn-14660@850cd0a,
scikit-learn__scikit-learn-23370@1dde56f,
scikit-learn__scikit-learn-8835@4bef1da,
scipy__scipy-10410@3a58e13,
scipy__scipy-10423@df1fef2,
scipy__scipy-13313@b564f3b,
scipy__scipy-13918@c98fbe5,
scipy__scipy-14703@23a2014,
scipy__scipy-15905@171e94e,
scipy__scipy-16508@3d7cf12,
scipy__scipy-18152@d349c38,
scipy__scipy-7353@0a59715,
scipy__scipy-9488@9e81f03,
skypilot-org__skypilot-1297@fd5782f,
skypilot-org__skypilot-1505@e7e933d,
skypilot-org__skypilot-1622@2c08184,
skypilot-org__skypilot-1718@1b51ae2,
skypilot-org__skypilot-3017@1f526ee,
skypilot-org__skypilot-5030@0acc040,
sqlfluff__sqlfluff-1803@a822a1f,
sqlfluff__sqlfluff-2285@2a45c67,
sqlfluff__sqlfluff-2510@8c37232,
sympy__sympy-16133@82bdbae,
sympy__sympy-18410@189871b,
sympy__sympy-18591@5505065,
sympy__sympy-19406@f6e5af5,
sympy__sympy-21459@382ea94,
sympy__sympy-21883@418efae,
tobymao__sqlglot-1123@23610af,
tobymao__sqlglot-1729@8be14c1,
vega__altair-3426@b0d0e5c,
